Token has not been saved to git credential helper. Pass `add_to_git_credential=True` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/016651544/.cache/huggingface/token
Login successful
DEVICE:-  cuda:0
Read Data!! 
Dataset dictionary: 
 DatasetDict({
    train: Dataset({
        features: ['text'],
        num_rows: 20000
    })
    validation: Dataset({
        features: ['text'],
        num_rows: 200
    })
})
{'quant_method': <QuantizationMethod.BITS_AND_BYTES: 'bitsandbytes'>, '_load_in_8bit': False, '_load_in_4bit': True, 'llm_int8_threshold': 6.0, 'llm_int8_skip_modules': None, 'llm_int8_enable_fp32_cpu_offload': False, 'llm_int8_has_fp16_weight': False, 'bnb_4bit_quant_type': 'nf4', 'bnb_4bit_use_double_quant': True, 'bnb_4bit_compute_dtype': 'bfloat16', 'load_in_4bit': True, 'load_in_8bit': False}
{'loss': 2.899, 'grad_norm': 181845.609375, 'learning_rate': 3.846153846153847e-07, 'epoch': 0.0}
{'loss': 3.0095, 'grad_norm': 173170.796875, 'learning_rate': 7.692307692307694e-07, 'epoch': 0.01}
{'loss': 3.0674, 'grad_norm': 164682.984375, 'learning_rate': 1.153846153846154e-06, 'epoch': 0.01}
{'loss': 3.0323, 'grad_norm': 162802.9375, 'learning_rate': 1.5384615384615387e-06, 'epoch': 0.02}
{'loss': 3.0784, 'grad_norm': 165677.859375, 'learning_rate': 1.9230769230769234e-06, 'epoch': 0.02}
{'loss': 3.0083, 'grad_norm': 160517.390625, 'learning_rate': 2.307692307692308e-06, 'epoch': 0.03}
{'loss': 2.9571, 'grad_norm': 160969.703125, 'learning_rate': 2.6923076923076928e-06, 'epoch': 0.03}
{'loss': 2.9981, 'grad_norm': 165384.734375, 'learning_rate': 3.0769230769230774e-06, 'epoch': 0.04}
{'loss': 2.9887, 'grad_norm': 162583.390625, 'learning_rate': 3.4615384615384617e-06, 'epoch': 0.04}
{'loss': 2.9857, 'grad_norm': 162958.296875, 'learning_rate': 3.846153846153847e-06, 'epoch': 0.05}
{'loss': 2.9828, 'grad_norm': 166124.859375, 'learning_rate': 4.230769230769231e-06, 'epoch': 0.05}
{'loss': 2.9658, 'grad_norm': 165265.171875, 'learning_rate': 4.615384615384616e-06, 'epoch': 0.06}
{'loss': 2.9513, 'grad_norm': 165509.953125, 'learning_rate': 5e-06, 'epoch': 0.06}
{'loss': 2.9528, 'grad_norm': 168871.0, 'learning_rate': 5.3846153846153855e-06, 'epoch': 0.07}
{'loss': 2.9043, 'grad_norm': 163790.125, 'learning_rate': 5.76923076923077e-06, 'epoch': 0.07}
{'loss': 2.8969, 'grad_norm': 165614.84375, 'learning_rate': 6.153846153846155e-06, 'epoch': 0.08}
{'loss': 2.8775, 'grad_norm': 165635.796875, 'learning_rate': 6.538461538461539e-06, 'epoch': 0.08}
