Token has not been saved to git credential helper. Pass `add_to_git_credential=True` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/016651544/.cache/huggingface/token
Login successful
DEVICE:-  cuda:0
Read Data!! 
2557 638
Dataset dictionary: 
 DatasetDict({
    train: Dataset({
        features: ['text'],
        num_rows: 2557
    })
    validation: Dataset({
        features: ['text'],
        num_rows: 638
    })
})
{'quant_method': <QuantizationMethod.BITS_AND_BYTES: 'bitsandbytes'>, 'load_in_8bit': False, 'load_in_4bit': True, 'llm_int8_threshold': 6.0, 'llm_int8_skip_modules': None, 'llm_int8_enable_fp32_cpu_offload': False, 'llm_int8_has_fp16_weight': False, 'bnb_4bit_quant_type': 'nf4', 'bnb_4bit_use_double_quant': False, 'bnb_4bit_compute_dtype': 'float16'}
{'loss': 2.505, 'learning_rate': 7.692307692307694e-06, 'epoch': 0.1}
{'loss': 2.7764, 'learning_rate': 1.5384615384615387e-05, 'epoch': 0.2}
{'loss': 2.4856, 'learning_rate': 2.307692307692308e-05, 'epoch': 0.3}
{'loss': 2.6983, 'learning_rate': 3.0769230769230774e-05, 'epoch': 0.4}
{'loss': 2.3663, 'learning_rate': 3.846153846153846e-05, 'epoch': 0.5}
{'loss': 2.4534, 'learning_rate': 4.615384615384616e-05, 'epoch': 0.6}
{'loss': 2.1694, 'learning_rate': 5.384615384615385e-05, 'epoch': 0.7}
{'loss': 2.0565, 'learning_rate': 6.153846153846155e-05, 'epoch': 0.8}
{'loss': 1.8761, 'learning_rate': 6.923076923076924e-05, 'epoch': 0.9}
{'loss': 1.5787, 'learning_rate': 7.692307692307693e-05, 'epoch': 1.0}
{'loss': 1.5316, 'learning_rate': 8.461538461538461e-05, 'epoch': 1.1}
{'loss': 1.1284, 'learning_rate': 9.230769230769232e-05, 'epoch': 1.2}
{'loss': 1.3117, 'learning_rate': 0.0001, 'epoch': 1.3}
{'loss': 0.922, 'learning_rate': 9.999560724782174e-05, 'epoch': 1.4}
{'loss': 1.1906, 'learning_rate': 9.998242976313776e-05, 'epoch': 1.5}
{'loss': 0.847, 'learning_rate': 9.996046986136509e-05, 'epoch': 1.6}
{'loss': 1.1154, 'learning_rate': 9.992973140107997e-05, 'epoch': 1.7}
{'loss': 0.7284, 'learning_rate': 9.989021978333995e-05, 'epoch': 1.8}
{'loss': 1.0763, 'learning_rate': 9.98419419507348e-05, 'epoch': 1.9}
{'loss': 0.6997, 'learning_rate': 9.97849063861667e-05, 'epoch': 2.0}
{'loss': 1.0133, 'learning_rate': 9.971912311135967e-05, 'epoch': 2.1}
{'loss': 0.6455, 'learning_rate': 9.964460368509867e-05, 'epoch': 2.2}
{'loss': 0.9774, 'learning_rate': 9.956136120119858e-05, 'epoch': 2.3}
{'loss': 0.6541, 'learning_rate': 9.94694102862035e-05, 'epoch': 2.4}
{'loss': 0.8825, 'learning_rate': 9.936876709681668e-05, 'epoch': 2.5}
{'loss': 0.6146, 'learning_rate': 9.925944931706173e-05, 'epoch': 2.6}
{'loss': 0.8277, 'learning_rate': 9.914147615517526e-05, 'epoch': 2.7}
{'loss': 0.6008, 'learning_rate': 9.901486834023182e-05, 'epoch': 2.8}
{'loss': 0.744, 'learning_rate': 9.887964811850159e-05, 'epoch': 2.9}
{'loss': 0.563, 'learning_rate': 9.873583924954152e-05, 'epoch': 3.0}
{'loss': 0.6846, 'learning_rate': 9.85834670020205e-05, 'epoch': 3.1}
{'loss': 0.5124, 'learning_rate': 9.842255814927944e-05, 'epoch': 3.2}
{'loss': 0.6178, 'learning_rate': 9.825314096462685e-05, 'epoch': 3.3}
{'loss': 0.4878, 'learning_rate': 9.807524521637102e-05, 'epoch': 3.4}
{'loss': 0.5857, 'learning_rate': 9.788890216258939e-05, 'epoch': 3.5}
{'loss': 0.455, 'learning_rate': 9.769414454563615e-05, 'epoch': 3.6}
{'loss': 0.5048, 'learning_rate': 9.749100658638914e-05, 'epoch': 3.7}
{'loss': 0.4287, 'learning_rate': 9.72795239782369e-05, 'epoch': 3.8}
{'loss': 0.4814, 'learning_rate': 9.705973388080693e-05, 'epoch': 3.9}
{'loss': 0.3857, 'learning_rate': 9.68316749134364e-05, 'epoch': 4.0}
{'loss': 0.4354, 'learning_rate': 9.659538714838634e-05, 'epoch': 4.1}
{'loss': 0.3338, 'learning_rate': 9.635091210380051e-05, 'epoch': 4.2}
{'loss': 0.3484, 'learning_rate': 9.609829273641034e-05, 'epoch': 4.3}
{'loss': 0.3023, 'learning_rate': 9.583757343398684e-05, 'epoch': 4.4}
{'loss': 0.3227, 'learning_rate': 9.55688000075414e-05, 'epoch': 4.5}
{'loss': 0.2539, 'learning_rate': 9.529201968327616e-05, 'epoch': 4.6}
{'loss': 0.267, 'learning_rate': 9.500728109428604e-05, 'epoch': 4.7}
{'loss': 0.224, 'learning_rate': 9.47146342720133e-05, 'epoch': 4.8}
{'loss': 0.2184, 'learning_rate': 9.44141306374566e-05, 'epoch': 4.9}
{'loss': 0.2119, 'learning_rate': 9.410582299213573e-05, 'epoch': 5.0}
{'eval_loss': 0.21642324328422546, 'eval_runtime': 31.5925, 'eval_samples_per_second': 20.195, 'eval_steps_per_second': 2.532, 'epoch': 5.0}
{'loss': 0.1953, 'learning_rate': 9.378976550881394e-05, 'epoch': 5.1}
{'loss': 0.1753, 'learning_rate': 9.346601372197914e-05, 'epoch': 5.2}
{'loss': 0.187, 'learning_rate': 9.3134624518086e-05, 'epoch': 5.3}
{'loss': 0.1472, 'learning_rate': 9.279565612556043e-05, 'epoch': 5.4}
{'loss': 0.1459, 'learning_rate': 9.244916810456821e-05, 'epoch': 5.5}
{'loss': 0.1242, 'learning_rate': 9.209522133654969e-05, 'epoch': 5.6}
{'loss': 0.1135, 'learning_rate': 9.173387801352232e-05, 'epoch': 5.7}
{'loss': 0.1238, 'learning_rate': 9.136520162715287e-05, 'epoch': 5.8}
{'loss': 0.1275, 'learning_rate': 9.098925695760132e-05, 'epoch': 5.9}
{'loss': 0.1053, 'learning_rate': 9.060611006213832e-05, 'epoch': 6.0}
{'loss': 0.1019, 'learning_rate': 9.021582826353824e-05, 'epoch': 6.1}
{'loss': 0.0948, 'learning_rate': 8.981848013824993e-05, 'epoch': 6.2}
{'loss': 0.0884, 'learning_rate': 8.94141355043471e-05, 'epoch': 6.3}
{'loss': 0.0912, 'learning_rate': 8.900286540926061e-05, 'epoch': 6.4}
{'loss': 0.0841, 'learning_rate': 8.858474211729469e-05, 'epoch': 6.5}
{'loss': 0.0913, 'learning_rate': 8.815983909692943e-05, 'epoch': 6.6}
{'loss': 0.081, 'learning_rate': 8.772823100791151e-05, 'epoch': 6.7}
{'loss': 0.0892, 'learning_rate': 8.728999368813591e-05, 'epoch': 6.8}
{'loss': 0.074, 'learning_rate': 8.684520414032023e-05, 'epoch': 6.9}
{'loss': 0.0818, 'learning_rate': 8.639394051847472e-05, 'epoch': 7.0}
{'loss': 0.0684, 'learning_rate': 8.593628211416964e-05, 'epoch': 7.1}
{'loss': 0.0819, 'learning_rate': 8.547230934260311e-05, 'epoch': 7.2}
{'loss': 0.0662, 'learning_rate': 8.500210372847127e-05, 'epoch': 7.3}
{'loss': 0.0811, 'learning_rate': 8.452574789164351e-05, 'epoch': 7.4}
{'loss': 0.0605, 'learning_rate': 8.404332553264547e-05, 'epoch': 7.5}
{'loss': 0.0825, 'learning_rate': 8.355492141795185e-05, 'epoch': 7.6}
{'loss': 0.061, 'learning_rate': 8.30606213650922e-05, 'epoch': 7.7}
{'loss': 0.08, 'learning_rate': 8.256051222757188e-05, 'epoch': 7.8}
{'loss': 0.0597, 'learning_rate': 8.2054681879611e-05, 'epoch': 7.9}
{'loss': 0.0793, 'learning_rate': 8.154321920070414e-05, 'epoch': 8.0}
{'loss': 0.0599, 'learning_rate': 8.102621406000309e-05, 'epoch': 8.1}
{'loss': 0.0776, 'learning_rate': 8.050375730052621e-05, 'epoch': 8.2}
{'loss': 0.0584, 'learning_rate': 7.997594072319625e-05, 'epoch': 8.3}
{'loss': 0.0776, 'learning_rate': 7.944285707070998e-05, 'epoch': 8.4}
{'loss': 0.0557, 'learning_rate': 7.890460001124242e-05, 'epoch': 8.5}
{'loss': 0.0767, 'learning_rate': 7.83612641219884e-05, 'epoch': 8.6}
