Token has not been saved to git credential helper. Pass `add_to_git_credential=True` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/016651544/.cache/huggingface/token
Login successful
DEVICE:-  cuda:0
Read Data!! 
Dataset dictionary: 
 DatasetDict({
    train: Dataset({
        features: ['text'],
        num_rows: 20000
    })
    validation: Dataset({
        features: ['text'],
        num_rows: 2000
    })
})
{'quant_method': <QuantizationMethod.BITS_AND_BYTES: 'bitsandbytes'>, 'load_in_8bit': False, 'load_in_4bit': True, 'llm_int8_threshold': 6.0, 'llm_int8_skip_modules': None, 'llm_int8_enable_fp32_cpu_offload': False, 'llm_int8_has_fp16_weight': False, 'bnb_4bit_quant_type': 'nf4', 'bnb_4bit_use_double_quant': False, 'bnb_4bit_compute_dtype': 'float16'}
{'loss': 2.5348, 'learning_rate': 1.020408163265306e-06, 'epoch': 0.01}
{'loss': 2.6881, 'learning_rate': 2.040816326530612e-06, 'epoch': 0.03}
{'loss': 2.7147, 'learning_rate': 3.0612244897959185e-06, 'epoch': 0.04}
{'loss': 2.7264, 'learning_rate': 4.081632653061224e-06, 'epoch': 0.05}
{'loss': 2.731, 'learning_rate': 5.102040816326531e-06, 'epoch': 0.06}
{'loss': 2.7305, 'learning_rate': 6.122448979591837e-06, 'epoch': 0.08}
{'loss': 2.703, 'learning_rate': 7.142857142857143e-06, 'epoch': 0.09}
{'loss': 2.6968, 'learning_rate': 8.163265306122448e-06, 'epoch': 0.1}
{'loss': 2.6921, 'learning_rate': 9.183673469387756e-06, 'epoch': 0.12}
{'loss': 2.6426, 'learning_rate': 1.0204081632653061e-05, 'epoch': 0.13}
{'loss': 2.6351, 'learning_rate': 1.1224489795918369e-05, 'epoch': 0.14}
{'loss': 2.54, 'learning_rate': 1.2244897959183674e-05, 'epoch': 0.15}
{'loss': 2.5132, 'learning_rate': 1.3265306122448982e-05, 'epoch': 0.17}
{'loss': 2.4564, 'learning_rate': 1.4285714285714285e-05, 'epoch': 0.18}
{'loss': 2.3785, 'learning_rate': 1.5306122448979594e-05, 'epoch': 0.19}
{'loss': 2.2853, 'learning_rate': 1.6326530612244897e-05, 'epoch': 0.2}
{'loss': 2.2138, 'learning_rate': 1.7346938775510206e-05, 'epoch': 0.22}
{'loss': 2.0879, 'learning_rate': 1.836734693877551e-05, 'epoch': 0.23}
{'loss': 1.982, 'learning_rate': 1.9387755102040817e-05, 'epoch': 0.24}
{'loss': 1.9893, 'learning_rate': 2.0408163265306123e-05, 'epoch': 0.26}
{'loss': 1.9685, 'learning_rate': 2.1428571428571428e-05, 'epoch': 0.27}
{'loss': 1.8762, 'learning_rate': 2.2448979591836737e-05, 'epoch': 0.28}
{'loss': 1.7775, 'learning_rate': 2.3469387755102043e-05, 'epoch': 0.29}
{'loss': 1.6757, 'learning_rate': 2.448979591836735e-05, 'epoch': 0.31}
{'loss': 1.5869, 'learning_rate': 2.5510204081632654e-05, 'epoch': 0.32}
{'loss': 1.473, 'learning_rate': 2.6530612244897963e-05, 'epoch': 0.33}
{'loss': 1.3948, 'learning_rate': 2.7551020408163265e-05, 'epoch': 0.35}
{'loss': 1.3063, 'learning_rate': 2.857142857142857e-05, 'epoch': 0.36}
{'loss': 1.2282, 'learning_rate': 2.959183673469388e-05, 'epoch': 0.37}
{'loss': 1.153, 'learning_rate': 3.061224489795919e-05, 'epoch': 0.38}
{'loss': 1.0637, 'learning_rate': 3.1632653061224494e-05, 'epoch': 0.4}
{'loss': 1.0279, 'learning_rate': 3.265306122448979e-05, 'epoch': 0.41}
{'loss': 0.9946, 'learning_rate': 3.36734693877551e-05, 'epoch': 0.42}
{'loss': 0.9193, 'learning_rate': 3.469387755102041e-05, 'epoch': 0.43}
{'loss': 0.8769, 'learning_rate': 3.571428571428572e-05, 'epoch': 0.45}
{'loss': 0.8166, 'learning_rate': 3.673469387755102e-05, 'epoch': 0.46}
{'loss': 0.7401, 'learning_rate': 3.775510204081633e-05, 'epoch': 0.47}
{'loss': 0.6198, 'learning_rate': 3.8775510204081634e-05, 'epoch': 0.49}
