ent1,ent2
hes-1,vegf
hairy and enhancer of split homolog-1,vegf
hairy and enhancer of split homologue-1,vegf
vegfr-1,vegf
flt-1,vegf
gpx2,gpx1
carcinogenesis,colitis
intestinal cancer,colitis
-819t,tlr1
-819c/t,tlr1
il-10,tlr1
interleukin-10 promoter single-nucleotide polymorphisms,tlr1
602s,tlr1
tlr,tlr1
cd,leprosy
mycobacterium leprae antigens,leprosy
hus,bloody diarrhea
hemolytic-uremic syndrome,bloody diarrhea
stec o157 infection,bloody diarrhea
ss52580101,rs706778
il2ra,rs706778
rs11594656,rs706778
rs3118470,rs706778
cypa,cyclophilin a
il22r1,il-22r1
crssnp,crswnp
recalcitrant crswnp,crswnp
ckd,chronic kidney disease
insig2 rs7566605,enpp)-1
insig2,enpp)-1
nos1ap rs7538490,enpp)-1
pklr rs3020781,enpp)-1
rs7566605,enpp)-1
k121q,enpp)-1
hepatitis c,insulin resistance
hcv infection,insulin resistance
obesity,insulin resistance
nptn,me2
rs677221-c,me2
rs677221,me2
rs1937970,me2
haplotype gc,me2
haplotypes gc,me2
rs1937970-rs677221,me2
haplotype ag,me2
rs3743500,me2
nrg3,me2
rs3840846,me2
rs3826047,me2
schizophrenia,psychotic
bipolar disorder,psychotic
manic disorders,psychotic
psychosis,psychotic
rs491347,rs1784235
lrp5,rs1784235
r381q,gm-csf
il23r,gm-csf
l1007fsinsc,gm-csf
nod2,gm-csf
nf kappab -94attg,gm-csf
fcgiiia g559t,gm-csf
mmp-3,gm-csf
card15,gm-csf
timp-1,gm-csf
tnf-alpha-g308a,gm-csf
il23r r381q,gm-csf
snp +372 t/c,gm-csf
rs11209026,gm-csf
nod2 snp,gm-csf
variants in the il23r,gm-csf
g908r,gm-csf
timp-1 genotype tt,gm-csf
tlr,gm-csf
5t5t genotype at mmp-3 snp -1613 5t/6t,gm-csf
tnf-alpha,gm-csf
crohn's disease,cd
fistulae,cd
rs42524,col1a2
intracranial aneurysms,ias
r381q,il23r r381q
toll-like receptor,il23r r381q
il23r,il23r r381q
nalp3,il23r r381q
nlrp3,il23r r381q
nod2,il23r r381q
nf kappab -94attg,il23r r381q
nucleotide oligomerization domain 2,il23r r381q
fcgiiia g559t,il23r r381q
g2677t/a,il23r r381q
mmp-3,il23r r381q
timp-1,il23r r381q
card15,il23r r381q
tnf-alpha-g308a,il23r r381q
rs11209026,il23r r381q
snp +372 t/c,il23r r381q
nod2 snp,il23r r381q
mdr1,il23r r381q
granulocyte-macrophage colony-stimulating factor,il23r r381q
il23r haplotypes,il23r r381q
5t5t genotype at mmp-3 snp -1613 5t/6t,il23r r381q
variants in the il23r,il23r r381q
g908r,il23r r381q
timp-1 genotype tt,il23r r381q
tlr,il23r r381q
l1007fsinsc,il23r r381q
tnf-alpha,il23r r381q
ulcerative colitis,crohn's disease
inflammatory bowel disease,crohn's disease
liglv asp62his,rad51
rad52 gln221glu,rad51
tp53,rad51
arg399gln,rad51
xrcc1,rad51
thr241met,rad51
arg280his,rad51
gln221glu,rad51
trp46ter,rad51
pro231ser,rad51
pro72arg,rad51
arg559gln,rad51
xrcc7,rad51
ligiv,rad51
xrcc3,rad51
15455419a>g,rad51
gastric cancer,papillary thyroid cancer
thyroid cancer,papillary thyroid cancer
carcinogenesis,papillary thyroid cancer
nos1ap,pklr
t-allele of nos1ap rs7538490,pklr
rs7538490,pklr
rs3020781,pklr
c-allele of pklr rs3020781,pklr
nos1ap rs7538490,pklr
pklr rs3020781,pklr
overweight,type 2 diabetes
obesity,type 2 diabetes
diabetes-related quantitative metabolic phenotypes,type 2 diabetes
pds,pyridoxine dependent seizures
ttac/ccag,cyp1a1
rs2198843,cyp1a1
cytochrome p450 1a1,cyp1a1
rs4886605,cyp1a1
hepatocellular carcinoma,hcc
rs1048661,loxl1
rs3825942,loxl1
loxl1 polymorphisms,loxl1
rs2165241,loxl1
exfoliation glaucoma,poag
exfoliation syndrome,poag
r381q,timp-1
il23r,timp-1
l1007fsinsc,timp-1
nod2,timp-1
nf kappab -94attg,timp-1
fcgiiia g559t,timp-1
mmp-3,timp-1
card15,timp-1
tnf-alpha-g308a,timp-1
snp +372 t/c,timp-1
rs11209026,timp-1
nod2 snp,timp-1
variants in the il23r,timp-1
g908r,timp-1
timp-1 genotype tt,timp-1
tlr,timp-1
5t5t genotype at mmp-3 snp -1613 5t/6t,timp-1
tnf-alpha,timp-1
hes-1,flt-1
hairy and enhancer of split homolog-1,flt-1
hairy and enhancer of split homologue-1,flt-1
vegfr-1,flt-1
rs731236,vdr
rs2228570,vdr
cdc6 g1321a,vdr
rs10735810,vdr
snps in the vdr,vdr
bc,mm
malignant melanoma,mm
sporadic breast cancer,mm
cancer,mm
liglv asp62his,rad52 gln221glu
tp53,rad52 gln221glu
arg399gln,rad52 gln221glu
xrcc1,rad52 gln221glu
thr241met,rad52 gln221glu
arg280his,rad52 gln221glu
gln221glu,rad52 gln221glu
trp46ter,rad52 gln221glu
pro231ser,rad52 gln221glu
pro72arg,rad52 gln221glu
arg559gln,rad52 gln221glu
xrcc7,rad52 gln221glu
ligiv,rad52 gln221glu
xrcc3,rad52 gln221glu
15455419a>g,rad52 gln221glu
nptn,haplotype gc
rs677221,haplotype gc
rs677221-c,haplotype gc
rs1937970,haplotype gc
haplotypes gc,haplotype gc
rs1937970-rs677221,haplotype gc
haplotype ag,haplotype gc
nrg3,haplotype gc
rs3743500,haplotype gc
rs3840846,haplotype gc
rs3826047,haplotype gc
bipolar disorder,schizophrenia
manic disorders,schizophrenia
psychosis,schizophrenia
rs2108622,cyp4f2
myocardial infarction,mi
rs13199524,mhc
syndecan 2,mhc
rs3093662,mhc
rs2395029,mhc
rs6503919,mhc
rs12198173,mhc
rs2575735,mhc
insig2 rs7566605,k121q
insig2,k121q
nos1ap rs7538490,k121q
pklr rs3020781,k121q
rs7566605,k121q
enpp1,k121q
nos1ap,nos1ap rs7538490
t-allele of nos1ap rs7538490,nos1ap rs7538490
rs7538490,nos1ap rs7538490
insig2 rs7566605,nos1ap rs7538490
insig2,nos1ap rs7538490
rs3020781,nos1ap rs7538490
c-allele of pklr rs3020781,nos1ap rs7538490
pklr rs3020781,nos1ap rs7538490
rs7566605,nos1ap rs7538490
liglv asp62his,trp46ter
tp53,trp46ter
arg399gln,trp46ter
xrcc1,trp46ter
thr241met,trp46ter
arg280his,trp46ter
gln221glu,trp46ter
pro231ser,trp46ter
pro72arg,trp46ter
arg559gln,trp46ter
xrcc7,trp46ter
ligiv,trp46ter
xrcc3,trp46ter
15455419a>g,trp46ter
ghrh,ghrhr mrna
ghrh receptor,ghrhr mrna
hbf,fetal haemoglobin
hbs1l-myb,fetal haemoglobin
6q23,fetal haemoglobin
beta-thalassaemia,hbb disorders
nptn,nrg3
rs677221,nrg3
rs677221-c,nrg3
rs1937970,nrg3
haplotypes gc,nrg3
rs1937970-rs677221,nrg3
haplotype ag,nrg3
rs3743500,nrg3
rs3840846,nrg3
rs3826047,nrg3
t393c polymorphism of the gnas1,t393c
hypopharyngeal cancer,oropharyngeal
hypopharyngeal squamous cell carcinoma,oropharyngeal
hes-1,vegfr-1
hairy and enhancer of split homolog-1,vegfr-1
hairy and enhancer of split homologue-1,vegfr-1
epsilon4,epsilon2
stk39,epsilon2
